Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_8_000000000-JTFYW_1_2101_16961_11507	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2111_8612_4360	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1109_24767_13340	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2111_24552_15863	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1114_24347_10298	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2110_16911_25864	1	3	25	4	1	3	25
M06508_19_000000000-CR8CR_1_1105_19125_12140	1	3	25	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_1104_9918_18783	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1105_16267_2968	2	34	5.555556	15	2	13	13.333333333333334
M06508_12_000000000-CJG44_1_2109_9473_4953	6	41	12.765957	25	5	20	20
M06508_9_000000000-JTBW3_1_2102_3842_13657	4	2288	0.17452	144	3	141	2.083333333333333
M06508_16_000000000-CMN9T_1_1106_17145_18717	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_15786_26714	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2104_8273_21371	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_19569_12002	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1102_19343_10495	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_22577_16566	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1105_12390_15733	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2102_8247_14835	2	2	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2114_25346_19245	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2113_13870_10826	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2114_13963_7922	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1109_10028_26029	42	65	39.252336	31	18	13	58.06451612903226
M06508_12_000000000-CJG44_1_1110_10784_9147	2	4	33.333333	4	1	3	25
M06508_12_000000000-CJG44_1_2105_14739_21862	2	6	25	5	1	4	20
M06508_18_000000000-CNPPR_1_2110_10887_16018	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1112_8320_24861	4	4	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2111_14960_16867	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2110_24240_8331	7	13	35	11	4	7	36.36363636363637
M06508_12_000000000-CJG44_1_1103_22075_18949	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1108_4752_8608	1	2	33.333333	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_1103_8676_11515	1	17	5.555556	14	1	13	7.142857142857142
M06508_16_000000000-CMN9T_1_2102_8184_20376	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_1114_14167_25793	2	3	40	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_2104_19892_2630	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2109_20179_3460	2	3	40	3	1	2	33.33333333333333
M06508_18_000000000-CNPPR_1_2109_26413_19999	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1101_17696_11134	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1108_24555_20689	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2110_13718_17828	1	2	33.333333	3	1	2	33.33333333333333
M06508_19_000000000-CR8CR_1_1109_18317_10739	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2106_13738_7806	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_12444_2028	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2109_11237_4914	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2111_20434_19560	2	20	9.090909	20	2	18	10
M06508_16_000000000-CMN9T_1_2109_12253_9762	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1108_11288_25790	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1103_11503_22864	1	1	50	2	1	1	50
